Premise,Hypothesis,Label
Electronic signatures (e‑signatures) are legally valid if they identify the signer and show intent to authenticate the contract.,Signatures in electronic form that identify the signer and indicate intent shall be valid and enforceable,ENTAILMENT
Electronic signatures (e‑signatures) are legally valid if they identify the signer and show intent to authenticate the contract.,A requirement for a signature shall be deemed satisfied if a reliable electronic method identifies the signer and indicates their intention to authenticate the document.,CONTRADICTION
A contract formed by offer and acceptance electronically is valid and enforceable even if entirely digital.,All contracts formed by electronic offer and acceptance shall be legally binding and enforceable,ENTAILMENT
A contract formed by offer and acceptance electronically is valid and enforceable even if entirely digital.,An offer and acceptance expressed electronically shall form a legally valid and enforceable contract unless otherwise agreed.,CONTRADICTION
"If a contract uses electronic records or e‑signatures, it cannot be denied legal effect just because it uses digital formats or e‑signatures.","A contract executed using electronic records or electronic signatures shall have full legal validity and effect, and cannot be challenged solely because it is in electronic form or signed electronically.",ENTAILMENT
"If a contract uses electronic records or e‑signatures, it cannot be denied legal effect just because it uses digital formats or e‑signatures.",Electronic records or electronic signatures shall not be denied legal effect solely because they are in electronic form.,CONTRADICTION
"An electronic contract is deemed received when it arrives at the recipient’s designated electronic address and can be retrieved, not when actually read.",Any electronic communication shall be deemed received once it is retrievable at the designated electronic address of the recipient,ENTAILMENT
"An electronic contract is deemed received when it arrives at the recipient’s designated electronic address and can be retrieved, not when actually read.",An electronic message shall be deemed received when it becomes capable of retrieval at the recipient’s designated electronic address.,CONTRADICTION
"If an input error occurs in an electronic contract and cannot be corrected immediately, the person may withdraw that portion of the contract if notified promptly.",A Party may withdraw any portion of an electronic communication in the event of an input error that cannot be corrected immediately.,ENTAILMENT
"If an input error occurs in an electronic contract and cannot be corrected immediately, the person may withdraw that portion of the contract if notified promptly.","In the event of an input error in an electronic communication where immediate correction is not provided, the originator shall have the right to withdraw the affected portion.",CONTRADICTION
Electronic documents and records are admissible as evidence in court proceedings.,"All electronic records, data messages, or documents shall be admissible as evidence in any legal proceeding.",ENTAILMENT
Electronic documents and records are admissible as evidence in court proceedings.,Electronic documents or communications shall be admissible as evidence in legal proceedings.,CONTRADICTION
Courts will presume electronic documents and e-signatures are genuine unless proven otherwise.,Electronic records and e-signatures shall be presumed genuine unless proven otherwise in a court of law.,ENTAILMENT
Courts will presume electronic documents and e-signatures are genuine unless proven otherwise.,"Courts shall, unless disproved, presume the authenticity of electronic documents, records, or signatures and the identity of their originators.",CONTRADICTION
A person who lends money and receives profit-based interest or a share of profits does not automatically become a partner and is not liable as a partner.,The Parties agree that lending funds with profit-based returns shall not create a partnership or confer partnership liabilities on the lender,ENTAILMENT
A person who lends money and receives profit-based interest or a share of profits does not automatically become a partner and is not liable as a partner.,Lending money on a profit-sharing basis shall not confer partnership status or associated liabilities on the lender.,CONTRADICTION
An employee or agent paid through profit-sharing does not become a partner and has no partnership rights or liabilities.,Employees or agents receiving profit-sharing remuneration shall not acquire partnership status or rights,ENTAILMENT
An employee or agent paid through profit-sharing does not become a partner and has no partnership rights or liabilities.,Any servant or agent remunerated by a share of profits shall not be deemed a partner nor acquire partnership rights.,CONTRADICTION
A widow or child receiving profit payments after a partner’s death is not considered a partner and is not liable for business debts.,Receipt of profit payments by a deceased partner's widow or child shall not constitute a partnership or confer liabilities,ENTAILMENT
A widow or child receiving profit payments after a partner’s death is not considered a partner and is not liable for business debts.,Any widow or child receiving profit payments after a partner’s death shall not be deemed a partner nor liable for business obligations.,CONTRADICTION
A person who sold a business and receives ongoing profit payments is not a partner and is not liable for the business’s debts.,Profit payments in consideration of goodwill shall not create a partnership or liabilities,ENTAILMENT
A person who sold a business and receives ongoing profit payments is not a partner and is not liable for the business’s debts.,A person receiving profits in consideration of the sale of goodwill shall not be deemed a partner or liable for business debts.,CONTRADICTION
"If the business becomes bankrupt or insolvent, a lender with profit-based interest can only recover after all other creditors are fully paid.",Recovery of profit-based returns shall be subordinate to the claims of all other creditors in case of insolvency.,ENTAILMENT
"If the business becomes bankrupt or insolvent, a lender with profit-based interest can only recover after all other creditors are fully paid.","In case of bankruptcy, any lender entitled to profit-based returns shall recover amounts only after satisfaction of claims of other creditors.",CONTRADICTION
"If a loan’s total charges (interest, fees, penalties) are excessive and the transaction is harsh or unfair, the court can review the loan and reduce the amount owed to what is fair.","If any loan is deemed harsh, unconscionable, or excessively charged, the Parties agree it may be adjusted by court order to ensure fairness",ENTAILMENT
"If a loan’s total charges (interest, fees, penalties) are excessive and the transaction is harsh or unfair, the court can review the loan and reduce the amount owed to what is fair.",Any loan deemed excessively burdensome or unconscionable may be reviewed and adjusted by the court to ensure fairness.,CONTRADICTION
"For loans up to Rs. 100, any interest rate above 20% per year is presumed unreasonable unless the lender proves otherwise.",Interest on loans up to Rs. 100 shall not exceed 20% per annum unless deemed reasonable by a court,ENTAILMENT
"For loans up to Rs. 100, any interest rate above 20% per year is presumed unreasonable unless the lender proves otherwise.",Interest on loans not exceeding Rs. 100 shall not exceed 20% per annum unless the lender proves reasonableness.,CONTRADICTION
"For loans between Rs. 100 and Rs. 2,500, any interest rate above 18% per year is presumed unreasonable unless the lender proves otherwise.","Interest on loans between Rs. 101 and Rs. 2,500 shall not exceed 18% per annum unless justified as reasonable",ENTAILMENT
"For loans between Rs. 100 and Rs. 2,500, any interest rate above 18% per year is presumed unreasonable unless the lender proves otherwise.","Interest on loans exceeding Rs. 100 and up to Rs. 2,500 shall not exceed 18% per annum unless justified by lender.",CONTRADICTION
"For loans over Rs. 2,500, any interest rate above 15% per year is presumed unreasonable unless the lender proves it is reasonable.","Interest on loans above Rs. 2,500 shall not exceed 15% per annum unless deemed reasonable by a court.",ENTAILMENT
"For loans over Rs. 2,500, any interest rate above 15% per year is presumed unreasonable unless the lender proves it is reasonable.","Interest on loans exceeding Rs. 2,500 shall not exceed 15% per annum unless the lender proves reasonableness.",CONTRADICTION
The total interest charged on a loan can never exceed the original principal amount at any point in time.,The Parties agree that accrued interest shall never exceed the principal sum of the loan.,ENTAILMENT
The total interest charged on a loan can never exceed the original principal amount at any point in time.,Interest on any loan shall not at any time exceed the principal sum then due.,CONTRADICTION
A loan agreement is invalid if obtained through undue influence where one party dominates the other and gains an unfair advantage.,Any loan agreement obtained under undue influence shall be void,ENTAILMENT
A loan agreement is invalid if obtained through undue influence where one party dominates the other and gains an unfair advantage.,Interest on any loan shall not at any time exceed the principal sum then due.,CONTRADICTION
"Money lenders must keep clear written records of all loan transactions showing amounts, payments, and charges in plain language.",The Lender shall maintain accurate and clear records of all loan transactions in plain words and numerals,ENTAILMENT
"Money lenders must keep clear written records of all loan transactions showing amounts, payments, and charges in plain language.","Every lender shall maintain accurate and clear written records of each loan transaction, including amounts, payments, and charges.",CONTRADICTION
"If a money lender fails to keep proper loan records, they cannot legally enforce the loan in court.",Failure to maintain proper loan records shall void the Lender’s right to enforce the loan,ENTAILMENT
"If a money lender fails to keep proper loan records, they cannot legally enforce the loan in court.",Failure to comply with record-keeping obligations shall prevent enforcement of the loan in any legal proceedings.,CONTRADICTION
"Every promissory note must clearly state the amount borrowed, any advance deductions, and the annual interest rate.","All promissory notes shall clearly state the principal, any advance payments, and the annual interest rate.",ENTAILMENT
"Every promissory note must clearly state the amount borrowed, any advance deductions, and the annual interest rate.","Every promissory note shall specify the principal amount, any advance deductions, and the applicable annual interest rate.",CONTRADICTION
A promissory note that does not clearly state loan details cannot be enforced in court.,Any promissory note not meeting statutory requirements shall be unenforceable unless relief is granted by a court,ENTAILMENT
A promissory note that does not clearly state loan details cannot be enforced in court.,"Any promissory note failing to comply with required disclosures shall not be enforceable, except where court grants relief for inadvertent noncompliance.",CONTRADICTION
It is a criminal offence for a lender to accept a promissory note with a false or blank amount.,It is an offence for the Lender to accept a promissory note with fictitious or blank amounts.,ENTAILMENT
It is a criminal offence for a lender to accept a promissory note with a false or blank amount.,"Acceptance of a promissory note with a false or blank amount shall constitute a criminal offence, punishable under law.",CONTRADICTION
Money lenders are not allowed to harass or intimidate borrowers by targeting their home or workplace.,"The Lender shall not harass, intimidate, or threaten the Borrower or any member of their family",ENTAILMENT
Money lenders are not allowed to harass or intimidate borrowers by targeting their home or workplace.,"No lender shall harass or intimidate any debtor or their family by visiting their residence, workplace, or other locations.",CONTRADICTION
It is illegal for a lender to persuade a borrower’s spouse or child to take a loan without written consent.,No loan shall be solicited from or induced to the Borrower’s spouse or child without written consent of the Borrowe,ENTAILMENT
It is illegal for a lender to persuade a borrower’s spouse or child to take a loan without written consent.,No lender shall induce any spouse or child of a borrower to contract a loan without the borrower’s written consent.,CONTRADICTION
